facility_state,facility_county,nyt_id,facility_name,facility_type,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths
West Virginia,Pleasants,58EA59DE,Saint Marys Correctional Center,State prison,389.0,,380,3,0,1.0
West Virginia,McDowell,7163AF78,Stevens Correctional Center/McDowell County Corrections,State prison,341.0,,266,0,0,0.0
West Virginia,Raleigh,568B9A09,Beckley Community Corrections facility,State prison,15.0,,0,0,0,0.0
West Virginia,Kanawha,2A92C06D,Charleston Community Corrections facility,State prison,27.0,,0,0,0,0.0
West Virginia,Wood,5C594624,Parkersburg Community Corrections facility,State prison,98.0,,43,0,0,0.0
West Virginia,Boone,85E52294,Donald R. Kuhn Juvenile Center,State juvenile detention,26.0,,1,0,0,0.0
West Virginia,Fayette,8AE91BDA,Gene Spadaro Juvenile Center,State juvenile detention,23.0,,2,0,0,0.0
West Virginia,Hampshire,D6D98AAC,"J.M. ""Chick"" Buckabee Juvenile Center",State juvenile detention,16.0,,1,0,0,0.0
West Virginia,Tucker,F7696D71,"Kenneth ""Honey"" Robenstein Juvenile Center",State juvenile detention,17.0,,0,0,0,0.0
West Virginia,Wood,36D95DBE,Lorrie Yeager Jr. Juvenile Center,State juvenile detention,18.0,,1,0,0,0.0
West Virginia,Cabell,60F5FAD1,Robert L. Shell Juvenile Center,State juvenile detention,18.0,,2,0,0,0.0
West Virginia,Mercer,C2FB69FF,Sam Purdue Juveniile Center,State juvenile detention,16.0,,4,0,0,0.0
West Virginia,Kanawha,E23B54E2,"James H. ""Tiger"" Morton Juvenile Center",State juvenile detention,16.0,,0,0,0,0.0
West Virginia,Berkeley,7055C5E6,Vicki V. Douglas Juvenile Center,State juvenile detention,13.0,,2,0,0,0.0
West Virginia,Ohio,B7252578,Ronald Mulholland Juvenile Center,State juvenile detention,17.0,,2,0,0,0.0
Wisconsin,Jackson,D960CCC7,Black River Correctional Center,State prison,67.0,115.0,42,0,10,0.0
Wisconsin,Chippewa,ABD6DF03,Chippewa Valley Correctional Treatment Facility,State prison,362.0,409.0,296,0,37,0.0
Wisconsin,Columbia,B840B39F,Columbia Correctional Institution,State prison,745.0,782.0,281,1,83,0.0
Wisconsin,Lincoln,3020F47E,Copper Lake School and Lincoln Hills School,State juvenile detention,66.0,,24,0,27,0.0
Wisconsin,Dodge,2D7FE62D,Dodge Correctional Institution,State prison,1603.0,1611.0,778,2,180,0.0
Wisconsin,Winnebago,E529EAA1,Drug Abuse Correctional Center,State prison,168.0,208.0,83,0,27,0.0
Wisconsin,Milwaukee,24B3A78E,Felmers O. Chaney Correctional Center,State prison,64.0,100.0,40,0,6,0.0
Wisconsin,Sawyer,4EA3E0E6,Flambeau Correctional Center,State prison,39.0,39.0,14,0,6,0.0
Wisconsin,Dodge,4227A32C,Fox Lake Correctional Institution,State prison,1257.0,1282.0,906,2,147,0.0
Wisconsin,Douglas,355C5A03,Gordon Correctional Center,State prison,64.0,80.0,48,0,11,0.0
Wisconsin,Brown,0D44658E,Green Bay Correctional Institution,State prison,1000.0,1008.0,482,1,140,0.0
Wisconsin,Kenosha,F77D6182,The Grow Academy,State juvenile detention,2.0,,0,0,0,0.0
Wisconsin,Jackson,FE2FF0C6,Jackson Correctional Institution,State prison,923.0,986.0,605,0,84,0.0
